;"GERÊNCIA DE SUPRIMENTOS
LISTA DE ITENS VIGENTES EM ATAS E CONTRATOS - ATT 12/08/2026";;;;;;;;;;;
;COD. PRODUTO FLUIG;CONTRATO;ENTIDADE;STATUSCONTRATO;FORNECEDOR;DATA INICIO;DATA FIM;IDPRD RM;NOME FANTASIA;DESC. PRODUTO;R$ TOTAL CONTRATO;CNPJ
;564635;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;17521;OCULOS SEGURANCA, COMPLEMENTO: INCOLOR ANTIRRISCO;OCULOS SEGURANCA, COMPLEMENTO: INCOLOR ANTIRRISCO;1.320.408,70;02.577.095/0001-36
;564636;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;17522;OCULOS DE SEGURANCA LENTE CINZA FUME ANTIRRISCO;OCULOS DE SEGURANCA LENTE CINZA FUME ANTIRRISCO;1.320.408,70;02.577.095/0001-36
;556956;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;10229;OCULOS SEGURANCA, COMPLEMENTO: SOBREPOSICAO LATERAL VENTILADA REGULAGEM TAMANHO;OCULOS SEGURANCA, COMPLEMENTO: SOBREPOSICAO LATERAL VENTILADA REGULAGEM TAMANHO;1.320.408,70;02.577.095/0001-36
;556958;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;10231;MOSQUETAO TIPO, COMPLEMENTO: D ALUMINIO;MOSQUETAO TIPO, COMPLEMENTO: D ALUMINIO;1.320.408,70;02.577.095/0001-36
;564768;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;17683;MASCARA DESCARTAVEL, COMPLEMENTO: TNT TRIPLA CAMADA CX 100 UND;MASCARA DESCARTAVEL, COMPLEMENTO: TNT TRIPLA CAMADA CX 100 UND;1.320.408,70;02.577.095/0001-36
;567148;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;20201;MASCARA SOLDA, COMPLEMENTO: ESCURECIMENTO AUTOMATICO;MASCARA SOLDA, COMPLEMENTO: ESCURECIMENTO AUTOMATICO;1.320.408,70;02.577.095/0001-36
;562902;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;15780;MASCARA SOLDA, COMPLEMENTO: SEGURANCA, COMPOSTA ESCUDO CELERON;MASCARA SOLDA, COMPLEMENTO: SEGURANCA, COMPOSTA ESCUDO CELERON;1.320.408,70;02.577.095/0001-36
;567149;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;20202;MACACAO SEGURANCA, COMPLEMENTO: IMPERMEAVEL COR BRANCO;MACACAO SEGURANCA, COMPLEMENTO: IMPERMEAVEL COR BRANCO;1.320.408,70;02.577.095/0001-36
;572861;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;26203;LUVA PARA PROCEDIMENTOS NAO CIRURGICOS CONFECCIONADA EM VINIL CX 100;"LUVA PARA PROCEDIMENTOS NAO CIRURGICOS CONFECCIONADA EM VINIL CX 100, SEM PULVERIZACAO DE PO BIOABSORVIVEL, SUPERFICIE LISA, AMBIDESTRA, NAO ESTERIL.
DEVERA SER IGUAL OU SIMILAR AO CA 40254";1.320.408,70;02.577.095/0001-36
;572860;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;26202;LUVA PARA PROCEDIMENTOS NAO-CIRURGICOS EM LATEX CX 100;"LUVA PARA PROCEDIMENTOS NAO-CIRURGICOS EM LATEX CX 100  CONFECCIONADA EM BORRACHA NATURAL, LISA, AMBIDESTRA, TIPO 1, NAO ESTERIL;
DEVERA POSSUIR OS TAMANHOS VARIADOS EP, P, M, G E EG;
DEVERA POSSUIR CERTIFICA";1.320.408,70;02.577.095/0001-36
;556237;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9552;LUVA SEGURANCA, COMPLEMENTO: MALHA ACO;LUVA SEGURANCA, COMPLEMENTO: MALHA ACO;1.320.408,70;02.577.095/0001-36
;562899;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;15777;LUVA SEGURANCA, COMPLEMENTO: BAIXA TENSAO;LUVA SEGURANCA, COMPLEMENTO: BAIXA TENSAO;1.320.408,70;02.577.095/0001-36
;556339;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9660;LUVA PROTECAO, COMPLEMENTO: TRICOTADA SEM COSTURA;LUVA PROTECAO, COMPLEMENTO: TRICOTADA SEM COSTURA;1.320.408,70;02.577.095/0001-36
;563486;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;16364;LUVA COBERTURA, COMPLEMENTO: USO SOBRE BORRACHA ISOLANTE ELETRICISTA;LUVA COBERTURA, COMPLEMENTO: USO SOBRE BORRACHA ISOLANTE ELETRICISTA;1.320.408,70;02.577.095/0001-36
;556340;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9661;LUVA SEGURANCA, COMPLEMENTO: LATEX NATURAL ANTIDERRAPANTE;LUVA SEGURANCA, COMPLEMENTO: LATEX NATURAL ANTIDERRAPANTE;1.320.408,70;02.577.095/0001-36
;556511;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9838;LUVA COURO, COMPLEMENTO: VAQUETA CANO LONGO SOLDADOR;LUVA COURO, COMPLEMENTO: VAQUETA CANO LONGO SOLDADOR;1.320.408,70;02.577.095/0001-36
;561446;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;14775;LUVA VAQUETA, COMPLEMENTO: CANO CURTO;LUVA VAQUETA, COMPLEMENTO: CANO CURTO;1.320.408,70;02.577.095/0001-36
;562895;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;15773;LUVA PROTECAO, COMPLEMENTO: CONTRA AGENTES TERMICOS;LUVA PROTECAO, COMPLEMENTO: CONTRA AGENTES TERMICOS;1.320.408,70;02.577.095/0001-36
;572973;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;26315;LUVA, MATERIAL: FIBRA SINTETICA E PVC, ACABAMENTO: ANTIDERRAPANTE, CANO: LONGO, COMPRIMENTO: 36CM;LUVA DE SEGURANCA DE PVC CONFECCIONADA EM SUPORTE TEXTIL DE FIBRAS SINTETICAS, REVESTIMENTO EXTERNO EM POLICLORETO DE VINILA (PVC) E ACABAMENTO ANTIDERRAPANTE ARENOSO NA REGIAO PALMAR, PONTA DOS DEDOS E DORSO.;1.320.408,70;02.577.095/0001-36
;569623;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;22950;LUVA PROTECAO, COMPLEMENTO: CONTRA AGENTES MECANICOS;LUVA PROTECAO, COMPLEMENTO: CONTRA AGENTES MECANICOS;1.320.408,70;02.577.095/0001-36
;556336;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9657;LENTE RETANGULAR MÁSCARA DE SOLDA;LENTE RETANGULAR MÁSCARA DE SOLDA;1.320.408,70;02.577.095/0001-36
;556338;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9659;LENTE TRANSLUCIDA, COMPLEMENTO: MASCARA SOLDA;LENTE TRANSLUCIDA, COMPLEMENTO: MASCARA SOLDA;1.320.408,70;02.577.095/0001-36
;556337;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9658;LENTE RETANGULAR, COMPLEMENTO: 12 0 MASCARA SOLDA;LENTE RETANGULAR, COMPLEMENTO: 12 0 MASCARA SOLDA;1.320.408,70;02.577.095/0001-36
;572869;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;26211;RETENTOR PARA FILTROS;DEVERA SER COMPATIVEL COM O RESPIRADOR DE AR SEMIFACIAL E CARTUCHO.;1.320.408,70;02.577.095/0001-36
;572868;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;26210;PRE FILTRO, CLASSE 2;DEVERA SER COMPATIVEL COM O RESPIRADOR DE AR SEMIFACIAL E CARTUCHO.;1.320.408,70;02.577.095/0001-36
;563522;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;16400;FILTRO AR, COMPLEMENTO: COMBINADO CLASSE P3;FILTRO AR, COMPLEMENTO: COMBINADO CLASSE P3;1.320.408,70;02.577.095/0001-36
;567153;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;20206;DISPOSITIVO TRAVA QUEDAS, MATERIAL: CAIXA PLASTICA EM ABS, COM FITA EM POLIESTER,TIPO: RETRATIL, USO:  EM CONJUNTO AO CI;"DISPOSITIVO TRAVA QUEDAS, MATERIAL: CAIXA PLASTICA EM ABS, COM FITA EM POLIESTER,TIPO: RETRATIL, USO:  EM CONJUNTO AO CINTO DE SEGURANÇA
";1.320.408,70;02.577.095/0001-36
;556960;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;10233;DISPOSITIVO TRAVA QUEDAS, MATERIAL: AÇO INOX COM FITA EM POLIESTER, USO:  EM CONJUNTO AO CINTO DE SEGURANÇA;"DISPOSITIVO TRAVA QUEDAS, MATERIAL: AÇO INOX COM FITA EM POLIESTER, USO:  EM CONJUNTO AO CINTO DE SEGURANÇA
";1.320.408,70;02.577.095/0001-36
;557589;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;10881;CREME PROTETOR, COMPLEMENTO: PELE GRUPO 3 SEM SILICONE;CREME PROTETOR, COMPLEMENTO: PELE GRUPO 3 SEM SILICONE;1.320.408,70;02.577.095/0001-36
